"sessionID";"SurveyTimestamp";"Q_1";"Q_2";"Q_3";"Q_4";"Q_5";"Q_6";"Q_7";"Q_8";"Q_9";"Q_10";"Q_11";"Q_12";"Q_13";"Q_14";"Q_15";"Q_16";"Q_17";"Q_18";"Q_19";"Q_20";"Q_21";"Q_22";"Q_23";"Q_24";"Q_25";"Q_26";"Q_27";"Q_28"
"7G3kF4q8Pm4ZGlhanjJmhZ6pYbJ2TwIGGxKAfv8l37qBzR5ITxRcoeCvNQ0Da0UclVIT89jh4uSmmvzwY5nXTV1rTwAca34dlQ6TKI08vAUJCPa2ps0IRQvdS9VihLXWqCVpMhe0Ls2hnpAQQFKKmW";"2024-03-07 16:06:04";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"LISTE E DIZIONARI";3;4;2;2;3;4;2;2;4;3;1;3;3;2;3;5;4;5;4;4;4;3;4;20;"FEMMINA"
"9FksXCNGrIPYi0S00EFqynq2FaId25theOXZahQ4pxSfQslALiDiHcLpXmU3abXTh0ocC2VMcyv2jnV1GpDDd3FDll61ef6hScgW0qZdJ3mJd5PJ4SALlCoOV5DPk6voPwMA8PIsWIrDP7s0rAYG6Q";"2024-03-07 16:06:04";"ABBASTANZA";"FUNZIONI";"LISTE E DIZIONARI";3;3;2;3;3;4;3;3;2;3;3;3;2;2;3;5;3;5;4;4;4;4;4;20;"MASCHIO"
"kZFKShftEczb30tC1IAxKSiE6Hh9oRMxiK8s8AFcEZOLAyNOc2g42ocO2qeZg8VTiAWFS38dZAOokDExX4frMbLlmKWWpocjNF3mMpgR4EwuuzyAsIaIrBPJAjfAddm0XfzoNM7plcT6igVcQSpCGS";"2024-03-07 16:06:51";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"FUNZIONI";4;4;2;3;4;3;2;3;2;3;2;4;1;3;2;6;6;6;5;5;5;5;6;21;"FEMMINA"
"ahpzd8tIYRQTRIFUdJjbetoxqgKEcnSmOsGhRsgIZrPoKCwaxxDgFClfpNDr0v1JWhInW4zHSZ9yuRkf6wr5Jac6KtvHfhZAIsr9GYfX58gUDGgOIzq5JtDO0J56AiuF35ePMLqfKAWSnR0J6iyvb2";"2024-03-07 16:06:51";"ABBASTANZA";"FUNZIONI";"VARIABILI";5;5;5;5;5;5;1;4;1;5;1;5;1;5;1;7;5;7;7;6;6;7;7;20;"FEMMINA"
"2WZUjDcXDsoKLhcwwtzqIcUYG3kY3FgIjv4hq7reTp9y79DCC3CyS7UnhI4uiXrQiZmCMhJQN7zpaVTiqH784qy5YfwraUCBpugR6TZ8KA9U3QIyvQocG2ycHNuMeqZILrp8Cb8sSXX9VmagVjWZND";"2024-03-07 16:07:24";"ABBASTANZA";"FUNZIONI";"LISTE E DIZIONARI";4;4;3;4;3;4;2;4;4;3;3;3;3;4;5;6;3;4;5;6;6;6;5;21;"MASCHIO"
"QH0gyYjbND76cXdlCGnPxIoNC1aJ0h97ESxZSfIITDmuKJvKuYYBFXzvejWFSU9SP7rsqledov6rp1MekBMgQpReRkuw0Ten2K5Rf60mAstiTpmplyDxR5Wr5YKvyIFysMOPXcrOXKdLAZ16DiuJEj";"2024-03-07 16:07:26";"POCO";"FUNZIONI";"VARIABILI";3;3;3;3;3;1;1;2;2;3;1;5;2;2;2;2;2;4;2;3;3;3;4;20;"FEMMINA"
"dUOnxkSLkcPniOe9IH6qJVqfgG510PHz1mITdaXFhTB1kuM5sGN4kVuJTjRsNunxJYuSVNU3Jfg9Yo8bMF6eT4jp1ak7WK2rjYACVoRNPuvuzngqhtRXxxScsdDW7nPVfde11AdRraCZHjAJL12OfX";"2024-03-07 16:07:37";"ABBASTANZA";"FUNZIONI";"TIPI DI DATO E CONVERSIONI";3;3;3;4;4;4;2;3;3;2;3;2;1;2;3;7;5;4;5;4;4;5;6;21;"FEMMINA"
"zG5WbHqUjgo7FRvlJ9i7bqU49njZ01sswvAHpgGLL2D2hw7z06Id2eh2ZDBbsBvJafXJuespdLXWgdAofew0WDUpVMWhcf6DhZSCAN6fk7ksOVvOak4LN8iBGCi78XCfJz9oiz1lE4JPxcpmDNMpc7";"2024-03-07 16:12:24";"ABBASTANZA";"FUNZIONI";"VARIABILI";4;4;4;4;4;2;1;5;1;4;1;4;1;5;1;6;5;6;6;5;7;5;7;20;"FEMMINA"
"dUOnxkSLkcPniOe9IH6qJVqfgG510PHz1mITdaXFhTB1kuM5sGN4kVuJTjRsNunxJYuSVNU3Jfg9Yo8bMF6eT4jp1ak7WK2rjYACVoRNPuvuzngqhtRXxxScsdDW7nPVfde11AdRraCZHjAJL12OfX";"2024-03-07 16:12:26";"ABBASTANZA";"FUNZIONI";"TIPI DI DATO E CONVERSIONI";3;3;3;4;4;4;2;3;3;2;3;2;1;2;3;7;5;4;5;4;4;5;6;21;"FEMMINA"
"AbhCdUkjqxOWXrb9eAyCFnHUCAPndnyHUbvjGX4Kk6AnRh7HDsqkYEdQ2h79ZwKNqjTqtQLEMZkDDQmFkzGPZAGjV384Ra6MbVkNSvF60xZPDeObLe4888CuUZdbiJmWZCoASOqs4g23HR8pBXihXl";"2024-03-07 16:12:44";"POCO";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"TIPI DI DATO E CONVERSIONI";3;4;2;3;3;2;1;5;3;4;4;3;2;4;2;6;4;4;3;4;3;3;5;21;"MASCHIO"
"VePe4xi894FyJnYnK8EyS4t72kFHL1HTWG9iDvVL7oJhfuWd0t7M0IATU3T5rPACKd3OIxONbaEzxFavFVSMifiCqBCWffRgruJzFw1kzek2NJ5C7IzVLT78Vm2KIRSJfabRIe20iH8VoovbOFQAyr";"2024-03-07 16:13:22";"MOLTO";"LISTE E DIZIONARI";"VARIABILI";5;5;5;5;5;5;2;5;1;4;1;5;1;5;1;7;5;7;7;7;7;7;7;20;"FEMMINA"
"X9itljqmsvDZbjSSVBemU46GXpN0Hf8I6TSumOEdaZY64pWoaXBloy13nVqhrDV6zFm8GnowoPt57MlAoxGDxxW7ljjK03vIEK9wGzIseBHBbIpIpNaXryc5rODfccaNi9GARCrbbgkOBPQp1lRljk";"2024-03-07 16:15:41";"MOLTO";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";5;4;3;3;3;5;1;3;4;4;1;5;1;5;1;7;6;6;5;5;5;4;4;22;"FEMMINA"
"iYoSQu2tMOgzvmEBOBfInCCoz5orFWPeVaiKe8NQ731Tf7UNOVyMusJLqT2VkGzR2pxbZEqh6jN8bV3Qsbctb345SRt5BtIP1lwwV58muXakrnjtSoA3L65fACuvVET3eX6cR4ToN2CNhW3vOkTAYo";"2024-03-07 16:16:28";"POCO";"TIPI DI DATO E CONVERSIONI";"LISTE E DIZIONARI";2;2;2;2;2;3;3;4;4;3;3;2;4;5;4;6;3;5;6;6;5;7;5;21;"FEMMINA"
"jc12kbYxAWfC0iDIX6I8PbVh9rPSWL4U4FfIy2f99XjTj32SRxHpb1Lz1Vbh3ksm4qEAChScaPw1XbO77WLH5Q2YH0YASIfI3in4fz1eP8R33sntUg48YcFbWWytsrbK2Nex1tmQ5H1ukzUcN7xFMI";"2024-03-07 16:16:56";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";4;3;3;3;3;1;2;1;5;3;2;2;4;3;4;6;2;5;4;4;4;4;4;2021;"FEMMINA"
"tREaFaQbuKloppodElYVTwfRj5aBOQHHAjcuAMtWJVWdfz0vMrXyix8B6VsPWZoJazoueQSP3h5WTYCavX1tKnVnCrd5X6qlCum9lTZyPmgNFe9yPGM3qnFf64UVRiRCJzTwJTcfsJYPjT4eYl07rQ";"2024-03-07 16:17:18";"POCO";"FUNZIONI";"VARIABILI";2;3;1;3;1;2;3;3;1;3;1;4;1;3;1;4;2;5;5;3;5;6;6;20;"FEMMINA"
"tOYm4dnZ3b0QkBYQbGPxMfJ3KqCuJYgAWJ9dc0OqunyGRwSdSeGaUSQKm9s3jy8KAejRIMqtxiDbuwUfCZKfMyEFe8QvoghGkgWIlNyg1rBDbu4HKLLFbBUgoKa6pEBCP84n9Yr1PwDaihW2gIyOLn";"2024-03-07 16:17:20";"POCO";"FUNZIONI";"VARIABILI";1;3;1;2;1;1;3;4;1;2;4;4;1;3;3;4;6;2;7;2;2;6;6;21;"FEMMINA"
"MHm6NeTl7NOWPTsrkXp6QW1DTcagamIlSMeQcD9OQmkeklScnwWsICgVkwYjbTqevuiNvbSjfR3KVIAmkyt3OMkfYVoDqTOKUY23HBQAcHYA29LGzIZDuybtDwpD89zABcC7Eu5THawdRMWUvRrzcE";"2024-03-07 16:17:40";"POCO";"FUNZIONI";"VARIABILI";3;2;2;2;2;3;4;3;1;3;4;4;1;2;5;4;2;2;3;2;5;5;5;21;"FEMMINA"
"v2UZ3slyO1TJyRxLojH3eHdoXhgMzs3uRFDIXuEQEHXWKRmU8uDhZbYdv1ASg0mUpcaKw9n5rRYRwiDWp9mJtJoKodLQmWcDp6tiVHTolDNXejN36so8dQnIyo4utM8wWAFi7GVyPQ188YutIgdzpU";"2024-03-07 16:18:02";"ABBASTANZA";"FUNZIONI";"VARIABILI";3;3;4;3;2;5;1;2;3;4;1;3;3;4;1;7;3;6;5;4;6;6;6;21;"FEMMINA"
"JjJoYArC2fKtc1Bk8zFaOokmL2rG45RqUFiY8rRkZwbFPyG3gvYnVMM0f3UStDG9E1qTmxDXDOOVNFwmHCOyY5uJKZucXHDVoiPa78rgf5v5ufvSkU5nP4fQBCDaYPbH0SEnCoXz4OZdQYWm2mgjU2";"2024-03-07 16:19:04";"ABBASTANZA";"FUNZIONI";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";4;3;4;4;4;3;3;3;5;4;4;3;3;3;3;6;4;6;6;7;7;7;7;21;"FEMMINA"
"NwpY1dZuPR8cZ06SpQVr5o4xMJb4B6FU5SB2WLGtSOaLjfWQ2lTwSBgFIkbJ928TaS3n4buuIQdOVbSDSFeYUHeJWNJRkFGc2IrOnd0XosPaBwmR5ODkawRPk1JroOmxsUKjMXtBu8PBrod8cuOYUQ";"2024-03-07 16:19:11";"POCO";"LISTE E DIZIONARI";"VARIABILI";2;3;3;3;2;1;2;3;5;2;1;2;4;3;2;4;2;2;5;4;5;6;7;21;"FEMMINA"
"emGmZvmqmwWdPqjt0qTz8O3FWVmMehbm9qu1XrLqokjOUUthFJtDygz2NkBVgoPAA7xxlGk1gvCEFPQHNzwJawBgpUuYxqzIP94zFEqFZ1ABIfH2RyU63WpCLOQn9e32Rlc2Gv8quDK3r3BHpooX96";"2024-03-07 16:19:15";"POCO";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";2;3;3;3;3;2;3;1;5;3;2;2;4;3;5;4;2;5;5;4;5;6;6;21;"FEMMINA"
"e45wjtl2I5fz3C33DErTkoJZ7MRDrG17hARrB9wBDwGPCYPHkm6fmnY7GDlgBBx2jjCSvWkhx9rniA4rWIq9nid0D4QEvtDpycr16ZjXf7dCbuLmOuyQONuu8ivkBSrg5N4Hsotzh9VJxDgDJ75RbC";"2024-03-07 16:19:29";"ABBASTANZA";"FUNZIONI";"VARIABILI";3;4;3;3;2;3;2;1;5;3;1;2;2;3;1;4;3;5;4;5;4;4;5;21;"MASCHIO"
"g6fIcI4mO2spxTHvP7CdXfDmGVdweGIW1gRnjsiIb57oDdPTyD8cglLAYTgNNOZWyPcd9c1kZdRfq5jnEO0UHYI7RemyYNukXySHFiub2mfZxFeqQ0sdu8SJp0eOEjEckbkByLkXCuDrNii2zWIITX";"2024-03-07 16:19:33";"-1";"FUNZIONI";"VARIABILI";3;3;3;3;2;2;2;3;5;3;1;2;2;3;2;3;2;5;4;5;2;4;5;21;"FEMMINA"
"qZiyKDLrwWdbNW52afiwhgkPnG7cGZEq0N4hGGix3DkJqCUM7pd3EdqcMamfEK3taBIOi7NEqMnInJMhpP7A5NfFJGN3stgfEEOdQEamct6gOTGIDIQu50aK79d6f5YnTZ4TAhc6yps2rEGSkbGOem";"2024-03-07 16:21:35";"POCO";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";3;3;2;2;2;2;3;4;3;4;2;4;2;3;3;4;5;5;3;4;3;4;4;-1;"FEMMINA"
"RgYTCHwjqP76XyL4JsACi01t6eLQlFBWstnU34SY6E5MQHWiZ0p0RuCt8nShCZ3KjFldefOOXbOsJLZaZIW4FgJKIcSSM8V5mJgqywC4KhO2Qf0F6w9RkQNgGC0HOWKuxkkkzS69aSyyZrhlSk9Nj8";"2024-03-07 16:21:35";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";3;3;1;1;2;5;2;5;1;3;2;4;1;5;1;6;6;6;4;3;4;3;4;-1;"FEMMINA"
"KLuIXZIQZKv7XHFJ1TfZRr0AI3oSQjUkywFCab32xVEkKfTAoQz6O9QWkdDlXrc7X6SOCGcmy9me90XQhBQST9m9IlUjtQLPUjtOUvwFMY8UUiPYuOgX1SVQckM9gTRdcijqxReC0YusFw9ZHerxon";"2024-03-07 16:21:56";"ABBASTANZA";"LISTE E DIZIONARI";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";3;3;3;3;3;4;2;5;4;4;3;4;1;3;3;6;5;5;5;7;7;7;6;21;"MASCHIO"
"teKZlrKj1KmXtYO0PMdJ5o6c3HbJBEUne6NJhnPMFEpgq8vmbn1Le8vT4GtVxgMVMyeD64LZZn9Vo7RmYRqFfanDEXj7vUHtojqxkqZOAVtXwHvUvlAOoam7UwGAMRmy2JSVqTUBGN5sKvUpfZH2sM";"2024-03-07 16:22:38";"MOLTO";"LISTE E DIZIONARI";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";5;5;5;5;5;5;1;5;1;5;1;5;1;1;1;7;7;7;7;7;7;7;7;20;"FEMMINA"
"aCDxMlVmbi5ARONlSN35wkBdw05lB2Jfolb25xMKGD7blqqN70GJA3Krb0HAYOaVmaREYHnYVpFVHMHiE8hG1jvPph5k5azgfmGoIvzsqFf9hUjJVlbyVtNcXreoDzvztKGtJICq4l8a4qDZ6Z0ziM";"2024-03-07 16:22:40";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"TIPI DI DATO E CONVERSIONI";3;4;4;4;4;4;2;4;1;3;1;4;1;3;2;6;5;5;5;5;5;4;5;22;"FEMMINA"
"EviiYewQQ90VAt0eT0sDeJmX4KxaUMogktr7wjRr8mjvna5K8cGzfZiJzsUll5CiVE1o7Y40bQIxmyrwtdOvJzGyhU01wrO2TxXn6SuFU6BI4VGDPqSNK4qNqOAGF8nd9bpY4U38A1LQWnQEtA4x4K";"2024-03-07 16:22:51";"MOLTO";"FUNZIONI";"VARIABILI";5;5;5;5;5;5;1;5;2;5;1;5;1;5;1;7;7;7;7;7;7;7;7;-1;"FEMMINA"
"NzM7l7K9oEF6XX6NeYoo5Z2qxGBgwaxFDN40NKVkYXrOCQZ6IlCGuFOf5XLxRINdaEQJhbbP33Y9zvKDSGSSc2CEHZcX0TbHgfCpJbCp41nfnz9whdQRbot2xdTrqA0b8uwuXXpY134ekeZjmSQhZE";"2024-03-07 16:23:21";"ABBASTANZA";"FUNZIONI";"TIPI DI DATO E CONVERSIONI";4;3;3;3;3;4;2;3;2;2;3;3;3;3;4;4;4;3;3;5;4;4;4;20;"MASCHIO"
"1Xx63DJs5seRPUeVI4plfGaLDFsDKZYQnflAnWh9ueB7O7DtIdirlbzYa1CWp9DlcwcxoDF9cZOJx1lyAOzUCBxCq4uE52pKf2aFzu5YJrKfERfHZcB5gCp5cpi32mmzLlZpshEYqaLcnxowWnxge8";"2024-03-07 16:24:00";"MOLTO";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"TIPI DI DATO E CONVERSIONI";5;5;4;4;4;4;1;4;2;5;1;4;1;4;1;7;6;6;7;7;7;7;7;-1;"FEMMINA"
"Wq47fmPacjPxGglsgwX7j4gEXlmLkgveVhirsi5trPebeD2yCWcEIJK1MLYT8vboRwPjjMtRnDnuL5rhMRDR2SXf8CwXAMzbTXKo8NjxaDLgW4JYkxhSjQ6mNFkoAGVZoIdI5Zy2J1MiNFS3t2V3wH";"2024-03-07 16:24:13";"ABBASTANZA";"LISTE E DIZIONARI";"VARIABILI";3;3;3;3;3;2;2;2;3;2;3;3;2;2;1;2;5;5;4;4;5;5;5;21;"FEMMINA"
"FeExY7vOK6U99Pmr1gAQcfEnTnx3D7TX2jNR89IPkaWH7TYFri8T7KEeUI1mfVnj4CCO3DRZ0tiWsCOoFad0u23cbrLhx3Hb7uYtpN1uVfREhi9wPWUDdtoRvr6r400rukGm3au0ARhvrioa2YHoL8";"2024-03-07 16:25:19";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"LISTE E DIZIONARI";4;3;1;1;3;4;2;4;2;4;2;4;2;4;2;6;5;5;5;4;4;5;6;21;"MASCHIO"
"EsOnHc2LXt9g9RCKStZnbpwP4dEbHaMykI0xEqXOiJQBO23jQKgwNOdt51HKEuLEcfJ6IIx34b6XhO6GaOr7rG5xPo7v36zFvm8qEaI8A9SWsJv2j8BpdNAMJsGTf0K0XlAGAKEzFqAbTpXNvGlpih";"2024-03-07 16:25:44";"ABBASTANZA";"FUNZIONI";"VARIABILI";5;5;5;5;5;4;2;4;1;4;2;5;1;5;1;7;7;6;6;5;5;6;6;-1;"MASCHIO"
"4sGe48mBBrS8I9ApeN6ufldtWbhaZ0aQh1pwOCYl85zw0oJ5R3CNP8fu3SRQySe20um7eIZVss65YTWmMKfy1slUO9Rkmiwq4PtmfZEP1LkcANpG0gni9UasNEKKGJiT0tvZDVysW8TkPxpv6uNEB1";"2024-03-07 16:27:00";"MOLTO";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"LISTE E DIZIONARI";5;5;5;5;5;4;3;3;4;4;1;4;2;3;1;6;3;5;5;3;3;6;7;21;"MASCHIO"
"th18sAfnAVjPFhzDdIwVlp90pWQoBRGrwhLh0FRY4LEMEQ86sG85gzZqaVG9kDWU1FjM1FOSby2g4M2kaadbqD8vXFj5RRacTfgJkADZe5NtWwD1CTUqOZnVbbJP8OBYDJpEvxC4m9Uju8tZ5Xhb8W";"2024-03-07 16:27:07";"MOLTO";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"LISTE E DIZIONARI";5;5;5;5;5;4;1;5;2;5;1;5;5;5;1;6;6;6;6;6;6;6;7;21;"FEMMINA"
"vEvVWQXnoEqELmbhOi60Y5JKR0XbRl8FbsteCiIXVFgjG1trYQ6KMPxO9YjO8oSYlFMwQbzg5p3zBPG9utRanGSoHwapKMxWnW4FaHgbkMsx1EorlWjWoCNOt8vNB2niVSp496VLfJiBWh7k9uJz71";"2024-03-07 16:29:32";"POCO";"FUNZIONI";"LISTE E DIZIONARI";4;3;4;4;4;3;2;5;2;-1;2;4;2;5;3;6;4;5;6;5;5;4;5;21;"FEMMINA"
"nECopYc7rTH88pbWKY5aI5mMnzn9jeM3sbcNf2RYUDbhEMSIrbew7smC9g6YolghdbpRFSFvae9vvz2zmghkLDnLTipq3Cs8cOwHC6V3I4R9SfT3fAEzyrqZ0cPiYsk4sKnNlhpkQKSv0hlvfw4XYY";"2024-03-07 16:31:15";"POCO";"FUNZIONI";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";3;2;3;3;2;3;2;4;3;4;3;4;2;4;1;5;5;5;5;4;4;3;5;-1;"MASCHIO"
"AdBvdLgt0nEARnCwsYubpMFyOb1HpTwo2MEBlkUj6c6f7Gzv2Geyo4ALPfBsHRDkuhsEZwT5ZGJJyEaIFXRIySkCn7aWQpifIy1Yob31DeTpjp5hBQUS5qeg0hIRudbFGMJP2IfAbiDclljR5urF4O";"2024-03-07 16:32:52";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"LISTE E DIZIONARI";4;4;4;4;4;5;2;3;1;5;2;3;1;4;1;6;5;6;6;4;5;5;6;21;"MASCHIO"
"cFgjsyPMb9jetWqFo4mdhWacWLal7u4Rs8cSY6ct69VmnapCXZX4M7Y4cPpWLXbLAuPqH4RFabyTQcqcFu2QMXpaT5W23vpN27jK3greGU86QYtzk3it2KTsw4sjoXr4Wwr9bKyXApPB8QTj15PV7J";"2024-03-07 16:32:54";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"LISTE E DIZIONARI";4;4;4;3;4;4;1;4;3;4;1;3;1;4;3;7;5;6;6;5;5;5;6;21;"FEMMINA"
"csnocWaOvHGiHAJolwXj9oXJYhC99VegVPbJx0E7nciTPoEA7PO1ALUVUUJktNLHMoXqxpHu1FeAIXwFMImDRaispQVX6TyP1zkY5RfqZVGk7daUCHdka9D5X048eHP8Ej3dSta29YCAnSjdDmWmzz";"2024-03-07 16:33:24";"MOLTO";"FUNZIONI";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";5;5;5;5;5;5;1;4;1;5;1;5;1;5;1;7;7;7;6;6;7;6;6;22;"FEMMINA"
"ZFX1jqYFX15qdZSrWqouTpj7TmePjf1PVcJVcJVc7O5UqxBMpQg6qWqxFQ1TMpS5IYKoqXKLqvNWIFdpE0kIboIUZc4pULY3Zyuv4eQBJnfJykKuWGqTb6Q6ocVJCQXUBTizNj3JKlG7YYcCPgwD96";"2024-03-07 16:41:32";"MOLTO";"LISTE E DIZIONARI";"VARIABILI";5;5;5;5;5;5;1;5;1;5;1;5;1;5;1;7;7;7;7;5;7;7;7;21;"FEMMINA"
"7RkCfu7m16CKzcdzeEJ5UgssC0HH3D4CUzvJ0582MTanSDKmkY8s0c83yI7ZGnWOKHXrKB7UnkL0QI5ZUXpGRFRbRoGyhIeoQTp7ePq86E3i10ev1GlPT7D6QG85iNRNd7EXf2DTnW2GmW8y1rGy8O";"2024-03-07 16:42:34";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"LISTE E DIZIONARI";4;4;4;4;4;2;2;3;2;3;3;3;3;3;3;6;4;5;6;4;4;4;4;-1;"FEMMINA"
"1eaWzLPFwWUQcHHna1aWAlt4uxdJhnl5pOVMWg6xlFjx1MSoinlsvQp5g0ZOdrHtkp8zz5LAs3enWG4wPMlkxJKX7J5Nypcu2y02OsLNOEegx69TsLPVlYuORftetzwNZy6v0T6PDUy34gmeeAclFy";"2024-03-07 16:43:37";"MOLTO";"FUNZIONI";"TIPI DI DATO E CONVERSIONI";5;5;5;5;5;5;2;5;3;5;1;5;1;5;3;7;7;7;7;7;7;7;7;21;"FEMMINA"
"xSfJNLn4pcnfzAHfXApPtvcwvTnUIkunmTbRUmuEqyzLSEo2o0uzjYjSOAc43XntihIBwQPzu5lvQ550EwnwGAK2PGoH8mSfD098blUfVhBB5bwxasDlsW65I4PziV4P2jccD4l36nGLuFQaQUuEgw";"2024-03-07 16:45:28";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";4;5;5;5;5;5;2;3;4;4;2;4;2;4;3;7;5;7;5;6;6;5;6;21;"MASCHIO"
"mulIz2h8ek63bhhJ0rOG3A2pXd2chIzedpQLzb4XiMUWVHCA4RzESyuAiViqEBhfSfwS8cPXObW6DwXFYAus8g7VgF2r8IJTQZcrUO0L1OPi5sm6TnyfqKqg5VQUP12DGAie0F51LNn3ILPFCpI8b3";"2024-03-07 16:45:53";"MOLTO";"FUNZIONI";"VARIABILI";5;5;5;5;5;4;1;4;1;4;1;5;1;1;2;7;6;7;6;7;7;7;7;20;"MASCHIO"
"eomiA2tjoMdxnQfw15q5pz2gXsZfWruNNKh11Tm44pCdBn6P3asjc3z8Wn9DZsTocbe74QZXoi5zsNtheo3GCIBhLwHF4QPB2B2Nd4jZnhtpXTSFKjEsradwvONSH3xD3zIo2RenRXnryXG1H0F56J";"2024-03-07 16:52:47";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"LISTE E DIZIONARI";3;3;3;3;3;1;2;3;1;3;1;4;1;4;1;4;4;4;4;4;4;4;4;25;"MASCHIO"
"BXsCAKLvGTnucovd9TNMHMfSqZtVX3qru9WhuF0iuedTn7Bov1m1DSjUVr6dJuQbBZnuZ5kuS4rI5Yo8WrINTMwsRoajsnGfCNVCcIwmKBHk5xojYp6YuUdEvK2uQmiMZUp9GlMyebQ5SJvG9gD05y";"2024-03-07 17:09:10";"MOLTO";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"LISTE E DIZIONARI";5;5;4;4;5;4;1;5;5;5;1;5;1;5;1;7;5;7;7;6;7;6;7;21;"FEMMINA"
"eGkpVmyihyfUeQVKeMmRWsma9PIl7FvOWRNDLRlsfLSXYmMNzMjwyBjAGsb1nKa7cVsQQpdSnYjkgCxeVBaV19WiRnWXIt9qbrIt9SUd4todKkDb2QQNqnfRuY3T8Q81kJd6BAV5kc8A0tz2laEOFp";"2024-03-07 17:09:11";"MOLTO";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"LISTE E DIZIONARI";5;5;4;4;5;4;1;5;1;5;1;5;1;5;1;7;5;7;7;6;7;6;7;21;"FEMMINA"
"nVTc8nrOnK7F1hB8S0QDHP6a7KoY3D3QsAYm4t9UBy3FM6zI8Jspp0nljMLN4fD6xHzyoj46JnuFxCzIM4L9BQoGEMOxxFIKdGzAy0MZWclLktTqcbB0NM4ymT5O7VVFxOJ1BZVttIG91HtnrDhvdp";"2024-03-07 17:13:18";"ABBASTANZA";"LISTE E DIZIONARI";"TIPI DI DATO E CONVERSIONI";4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;6;4;4;4;4;4;4;4;-1;"MASCHIO"
"UUTkpLcLjcQSv9rJhfqYCtpaDS2Grw5NU03rq0Cmi96k7wtzxJnDTffX7oCWMjjZtqwWobrkBv7P21J5Z2jUUTVaG5ZLIoZqNPONLGllbIEgJsZa2sTzjpNE2fzz9jspONGMozdkFHeVN8OcouPtdp";"2024-03-07 17:13:51";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"TIPI DI DATO E CONVERSIONI";4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;7;6;6;6;4;4;6;7;24;"MASCHIO"
"tEPJ6sCw5L8JlWnewC8xER3VfHWifAgyoxXICsKY3VhsTTHxcoAPRPsLBQ86yLjDKmQsTmCbLglLKCxqu01xz2paPr5Q1DkXFKyWDGrYOQiBdDhnwEaqHJM5BgMnr9lDlK7ifhXen4t4zzqNheUmjB";"2024-03-07 18:20:17";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";4;4;3;3;3;4;2;4;2;4;1;4;2;4;2;6;5;5;6;6;6;6;5;21;"FEMMINA"
"D6W8MnRjzAARdz2pb8Ty6fHG4w0UPGzCGdNdBoI5daF25eleCzxPCLeNrYRMn1dDxb3Td6BBch7RANDWbMOYVlUODJGp5SNZ37K0jVqyoMTEzLi2D4Sp8uYiaiHZ48hrdVO8aE02lWxbiQCP6GTFW7";"2024-03-07 23:41:53";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"LISTE E DIZIONARI";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;7;5;6;6;5;7;5;6;-1;"MASCHIO"
